App Name,अनुप्रयोग नाव,
Calendar,दिनदर्शिका,
Camera,कॅमेरा,
Custom CSS,सानुकूल CSS,
Description,वर्णन,
Download,डाउनलोड करा,
File,फाईल,
Filter,फिल्टर,
Folder,फोल्डर,
Home,मुख्यपृष्ठ,
Icon,चिन्ह,
Image,प्रतिमा,
Inbox,इनबॉक्स,
Is Active,सक्रिय आहे,
Keyboard Shortcuts,कीबोर्ड शॉर्टकट,
Label,लेबल,
Phone,फोन,
Primary Color,प्राथमिक रंग,
Reload,रीलोड करा,
Search,शोध,
Session Defaults,सत्र डीफॉल्ट,
Settings,सेटिंग्ज,
System Manager,प्रणाली व्यवस्थापक,
Title,शीर्षक,
Upload,अपलोड करा,
User,वापरकर्ता,
Users,वापरकर्ते,
View Website,वेबसाइट पहा,
