About,关于,
App Name,应用名称,
Apps,应用,
Background Image,背景图片,
Calendar,日历,
Camera,摄像头,
Custom CSS,自定义CSS,
Description,描述,
Download,下载,
File,文件,
Filter,过滤器,
Folder,文件夹,
Frappe Support,Frappe支持,
General,常规,
Home,首页,
Icon,图标,
Image,图片,
Inbox,收件箱,
Is Active,是否激活,
Keyboard Shortcuts,键盘快捷键,
Label,标签,
Log out,注销,
My Profile,我的档案,
My Settings,我的设置,
Package,软件包,
Phone,电话,
Primary Color,主色调,
Reload,重新加载,
Search,搜索,
Session Defaults,会话默认值,
Settings,设置,
System Manager,系统管理员,
Title,标题,
Toggle Full Width,切换全宽模式,
Toggle Theme,切换主题,
Tools,工具,
Upload,上传,
User,用户,
Users,用户列表,
View Website,查看网站,
